id,category
0,math
1,cs
2,stat
3,stat
4,physics
5,stat
6,cs
7,stat
8,math
9,cs
10,physics
11,math
12,cs
13,math
14,cs
15,stat
16,math
17,cs
18,physics
19,stat
20,math
21,cs
22,physics
23,math
24,stat
25,math
26,cs
27,math
28,math
29,physics
30,stat
31,stat
32,physics
33,cs
34,stat
35,stat
36,stat
37,math
38,stat
39,cs
40,cs
41,math
42,cs
43,stat
44,physics
45,physics
46,cs
47,cs
48,math
49,stat
50,math
51,physics
52,stat
53,cs
54,cs
55,stat
56,cs
57,physics
58,stat
59,cs
60,math
61,stat
62,cs
63,physics
64,math
65,cs
66,cs
67,cs
68,stat
69,physics
70,physics
71,physics
72,cs
73,physics
74,stat
75,stat
76,math
77,math
78,cs
79,math
80,stat
81,math
82,math
83,physics
84,stat
85,math
86,stat
87,stat
88,physics
89,physics
90,cs
91,math
92,physics
93,math
94,physics
95,cs
96,stat
97,physics
98,stat
99,cs
100,cs
101,cs
102,stat
103,stat
104,stat
105,stat
106,cs
107,stat
108,cs
109,stat
110,physics
111,cs
112,math
113,physics
114,stat
115,cs
116,cs
117,math
118,cs
119,math
120,cs
121,math
122,physics
123,math
124,physics
125,math
126,physics
127,cs
128,stat
129,cs
130,cs
131,math
132,math
133,math
134,physics
135,physics
136,cs
137,stat
138,physics
139,cs
140,cs
141,math
142,stat
143,physics
144,stat
145,cs
146,cs
147,stat
148,math
149,math
150,stat
151,cs
152,physics
153,cs
154,math
155,math
156,physics
157,physics
158,physics
159,stat
160,cs
161,math
162,stat
163,math
164,physics
165,cs
166,math
167,physics
168,physics
169,physics
170,math
171,cs
172,stat
173,physics
174,physics
175,math
176,math
177,physics
178,stat
179,cs
180,stat
181,cs
182,physics
183,physics
184,stat
185,cs
186,physics
187,stat
188,math
189,cs
190,cs
191,stat
192,cs
193,cs
194,stat
195,math
196,math
197,cs
198,physics
199,math
200,math
201,math
202,physics
203,cs
204,physics
205,cs
206,stat
207,stat
208,stat
209,physics
210,math
211,math
212,physics
213,math
214,stat
215,stat
216,physics
217,cs
218,physics
219,physics
220,math
221,cs
222,physics
223,cs
224,cs
225,stat
226,cs
227,math
228,stat
229,stat
230,math
231,math
232,cs
233,math
234,physics
235,cs
236,cs
237,stat
238,stat
239,cs
240,cs
241,cs
242,stat
243,physics
244,stat
245,physics
246,math
247,math
248,math
249,math
250,cs
251,stat
252,math
253,cs
254,cs
255,math
256,stat
257,physics
258,stat
259,cs
260,math
261,stat
262,physics
263,physics
264,cs
265,physics
266,physics
267,physics
268,stat
269,cs
270,stat
271,math
272,stat
273,cs
274,cs
275,cs
276,cs
277,stat
278,math
279,math
280,math
281,math
282,math
283,cs
284,cs
285,cs
286,cs
287,cs
288,stat
289,physics
290,stat
291,physics
292,math
293,physics
294,stat
295,cs
296,math
297,cs
298,cs
299,math
300,physics
301,physics
302,physics
303,math
304,stat
305,physics
306,cs
307,math
308,math
309,cs
310,stat
311,stat
312,physics
313,cs
314,stat
315,cs
316,math
317,physics
318,cs
319,physics
320,cs
321,math
322,cs
323,math
324,math
325,stat
326,stat
327,math
328,cs
329,cs
330,stat
331,cs
332,stat
333,math
334,cs
335,physics
336,math
337,math
338,stat
339,stat
340,math
341,math
342,cs
343,stat
344,physics
345,cs
346,math
347,cs
348,cs
349,cs
350,stat
351,stat
352,math
353,math
354,cs
355,stat
356,physics
357,physics
358,math
359,math
360,physics
361,cs
362,physics
363,math
364,math
365,stat
366,physics
367,stat
368,stat
369,math
370,physics
371,math
372,math
373,stat
374,math
375,physics
376,cs
377,cs
378,math
379,cs
380,math
381,stat
382,cs
383,math
384,cs
385,math
386,stat
387,cs
388,physics
389,cs
390,math
391,math
392,physics
393,cs
394,physics
395,cs
396,cs
397,physics
398,physics
399,math
400,physics
401,cs
402,stat
403,cs
404,math
405,stat
406,physics
407,physics
408,math
409,cs
410,math
411,physics
412,physics
413,stat
414,cs
415,cs
416,cs
417,physics
418,math
419,stat
420,physics
421,math
422,cs
423,stat
424,cs
425,math
426,cs
427,physics
428,math
429,math
430,math
431,stat
432,math
433,cs
434,math
435,cs
436,physics
437,math
438,math
439,cs
440,cs
441,physics
442,stat
443,cs
444,cs
445,math
446,math
447,math
448,math
449,physics
450,physics
451,cs
452,math
453,math
454,cs
455,cs
456,cs
457,math
458,cs
459,physics
460,stat
461,physics
462,math
463,math
464,cs
465,physics
466,cs
467,physics
468,cs
469,physics
470,math
471,math
472,physics
473,physics
474,math
475,cs
476,math
477,physics
478,math
479,cs
480,stat
481,math
482,cs
483,stat
484,cs
485,cs
486,math
487,cs
488,cs
489,cs
490,physics
491,cs
492,math
493,math
494,stat
495,cs
496,math
497,stat
498,math
499,math
500,cs
501,physics
502,cs
503,physics
504,math
505,physics
506,math
507,cs
508,stat
509,stat
510,physics
511,stat
512,physics
513,physics
514,math
515,cs
516,math
517,cs
518,stat
519,cs
520,math
521,cs
522,cs
523,math
524,math
525,math
526,cs
527,math
528,math
529,math
530,cs
531,cs
532,stat
533,math
534,stat
535,physics
536,cs
537,physics
538,cs
539,stat
540,math
541,physics
542,physics
543,physics
544,physics
545,stat
546,cs
547,cs
548,math
549,cs
550,physics
551,stat
552,math
553,physics
554,cs
555,math
556,cs
557,cs
558,cs
559,stat
560,math
561,math
562,physics
563,cs
564,stat
565,stat
566,cs
567,math
568,stat
569,math
570,cs
571,math
572,physics
573,physics
574,physics
575,math
576,physics
577,physics
578,physics
579,math
580,cs
581,cs
582,cs
583,physics
584,cs
585,math
586,math
587,cs
588,cs
589,stat
590,stat
591,cs
592,stat
593,physics
594,physics
595,physics
596,stat
597,math
598,stat
599,cs
600,math
601,cs
602,math
603,physics
604,cs
605,stat
606,stat
607,math
608,physics
609,math
610,cs
611,stat
612,stat
613,math
614,stat
615,math
616,math
617,math
618,math
619,math
620,physics
621,physics
622,physics
623,cs
624,math
625,physics
626,math
627,math
628,math
629,cs
630,math
631,cs
632,math
633,math
634,cs
635,math
636,math
637,math
638,math
639,math
640,stat
641,cs
642,math
643,physics
644,math
645,math
646,math
647,stat
648,math
649,stat
650,math
651,cs
652,cs
653,cs
654,math
655,physics
656,math
657,cs
658,cs
659,cs
